title,author,publish_year,edition_count
Python Cookbook,"Alex Martelli, David Ascher, David M. Beazley, Brian K. Jones",2002,7
Fluent Python,Luciano Ramalho,2015,6
Core Python Programming,R. Nageswara Rao,2016,5
Black Hat Python,"Justin Seitz, Tim Arnold",2014,3
Think Python,"Allen B. Downey, Allen Downey",2009,11
Python,Joshua Welsh,2017,1
Python For Data Analysis,Wes McKinney,2012,8
Automate the Boring Stuff with Python,Al Sweigart,2015,8
"Python Crash Course, 3rd Edition",Eric Matthes,2022,1
Introduction to Machine Learning with Python,"Andreas C. Mueller, Sarah Guido",2016,2
Data science from scratch,Joel Grus,2015,4
Core Python programming,Wesley Chun,2006,2
"Python Crash Course, 2nd Edition",Eric Matthes,2019,1
Python crash course,Eric Matthes,2015,2
The Hidden Oracle,Rick Riordan,2016,36
Python,Martin C. Brown,2001,3
Python Data Science Handbook,Jake VanderPlas,2016,2
Practical Statistics for Data Scientists: 50 Essential Concepts,"Peter Bruce, Andrew Bruce, Peter Gedeck",2017,2
Python Playground,Mahesh Venkitachalam,2015,2
The Burning Maze,Rick Riordan,2018,22
My Favorite Animal,Victoria Marcos,2014,90
Python Basics,"David Amos, Dan Bader, Joanna Jablonski, Fletcher Heisler",2021,1
Data Science,"Tiffany-Anne Timbers, Trevor Campbell, Melissa Lee",2022,6
Python,Byron Francis,2016,1
Head First Python,Paul Barry,2010,9
Beginning Python,James R. Payne,2010,6
Python Distilled,David M. Beazley,2021,3
Python Programming,Reema Thareja,2019,2
Django for Beginners,William S. Vincent,2018,4
Python for Everybody,Dr. Charles Russell Severance,2016,1
Effective Python,Brett Slatkin,2015,8
Pythons' Autobiography by the Pythons,"Monty Python, Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, et al, Bob McCabe",2003,18
Python for dummies,"Stef Maruch, Aahz Maruch",2006,5
Python,Martin Evans,2018,10
Python Basics,Unknown,2019,1
Garden Planting Weekly,Yoshiko TOLBERT,2022,90
Starting out with Python,Tony Gaddis,2008,4
Deep Learning with Python,Francois Chollet,2017,2
Data Structures and Algorithms in Python,"Michael T. Goodrich, Roberto Tamassia, Michael H Goldwasser",2012,3
Python in a Nutshell,"Alex Martelli, Anna Ravenscroft, Steve Holden",2002,8
PYTHON Exercises,Ray Yao,2021,1
Python programming,John M. Zelle,2003,2
Let Us Python,Yashavant Kanetkar,2019,2
